,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Unai García,,7.51,5.89,6.0,7.18,6.65,,,5.81,
Iñigo Arguibide,,5.95,,,,,,,,
Léo Duarte,,7.09,,,5.71,5.96,,,,
Jorge Moreno,,7.52,,,,,,,,
David Gil,,6.48,7.89,,5.66,,,,,
Jeremías Ledesma,,6.01,7.21,6.34,7.59,,,,,
Rubén Alcaraz,,8.22,6.9,7.65,6.1,5.91,7.4,,,
Roger Martí,,7.95,5.54,6.49,6.65,5.5,6.89,7.43,,7.04
Fali,,7.32,7.99,5.96,7.92,,,,,
Víctor Chust,,7.49,6.63,5.94,8.21,,,,,
Mamadou Mbaye,,6.76,7.24,,,,,,,
Rominigue Kouamé,,5.66,5.63,6.9,,,,5.71,,
Milutin Osmajić,,5.53,,6.36,,,,,,
Diadie Samassékou,7.52,7.05,5.55,7.85,6.26,7.1,,,,
Chris Ramos,,7.01,7.7,,,,6.11,,,
Isaac Carcelen,,6.05,8.24,6.14,7.93,,,,,
Álex Fernández,,8.05,6.1,6.93,7.15,,,,,
Aiham Ousou,,6.92,,,,,,,,
Maximilian Bauer,6.89,7.96,6.24,5.83,7.4,5.92,6.12,7.69,,
Rubén Sobrino,,7.2,7.0,7.85,6.16,7.83,7.25,7.24,6.38,
Jorge Meré,,6.99,6.34,6.38,7.14,5.83,,7.93,6.33,6.66
Fede San Emeterio,,7.91,7.19,6.95,6.66,7.7,,,,
Gonzalo Escalante,,6.27,7.2,10.0,6.07,6.64,6.84,5.51,7.96,7.59
Brian Ocampo,,5.42,6.48,,,,,,,
José Mari,,6.65,7.55,6.61,6.76,,,6.19,,6.88
Joseba Zaldúa,,7.82,6.0,6.66,6.42,5.5,7.16,5.77,7.75,6.54
Iván Alejo,,6.39,7.76,7.42,7.73,,6.04,7.88,,
Enzo Mongo,,7.59,,,,,,,,
Matteo Gabbia,7.99,6.47,6.16,6.59,7.6,7.76,,,,
Aïssa Mandi,7.84,7.89,6.03,7.83,7.02,7.43,7.26,8.14,6.88,7.52
Martín Pascual,,6.85,8.36,,,,,,,
José Luis Morales,,6.28,5.85,7.64,6.61,5.57,6.53,6.6,,7.22
Manu Trigueros,,5.98,7.14,6.42,6.19,7.61,7.0,6.48,7.81,7.91
Alfonso Pedraza,,7.24,7.91,7.52,7.57,7.69,7.42,7.4,,5.3
Stefan Lekovic,,5.29,,,,,,,,
Álvaro Vallés,,6.09,,,,,,,,
Eric Curbelo,,7.91,,,,,,,,
Saúl Coco,5.77,6.0,,,,,,,,
Cristian Herrera,,5.81,,,,,,,,
Omenuke Mfulu,,7.71,,,7.65,,,,,6.06
Iñaki González,,5.63,,,,,,,,
Álvaro Lemos,,6.62,,,,,,,5.15,
Sory Kaba,,6.61,,,,,7.14,,,
Aarón Escandell,,5.44,,7.34,8.2,7.12,,,,
Sergi Roberto,6.28,6.59,5.57,8.09,8.24,7.46,7.01,6.76,6.46,6.08
Ronald Araújo,,8.23,7.25,6.04,7.19,6.32,,,,
Iván Cuéllar,,6.1,,,,6.65,6.49,7.25,6.76,5.53
Predrag Rajković,,5.93,5.65,5.7,5.74,6.56,,,,
Nemanja Radonjić,,5.57,6.11,7.59,5.9,6.56,5.34,,,
Giovanni González,,5.68,7.0,5.64,,,,,,
Jaume Costa,,6.57,5.52,5.68,7.41,6.3,7.74,7.57,7.76,6.33
Iker Muniain,,6.29,8.18,6.83,6.57,5.84,5.58,7.37,6.25,6.02
Peru Nolaskoain,,6.55,,,,,5.98,,,
Imanol García,,7.02,,,,,,,7.3,
Aingeru Olabarrieta,,7.76,,,,,,,,
Ivan Rakitić,,7.2,6.6,5.79,6.26,7.13,7.61,7.37,7.12,6.15
Sergio Ramos,,8.06,7.76,7.29,7.97,6.36,6.94,6.63,6.82,8.26
Youssef En-Nesyri,,7.71,8.04,7.04,6.11,6.74,7.16,6.23,6.51,
Marcos Acuña,,7.04,6.02,7.72,7.52,,,,,
Óliver Torres,,7.71,7.98,6.3,6.94,8.22,,,,6.89
Jesús Corona,,7.67,5.59,7.94,,,,,,
Marcelo Díaz,,6.44,5.86,7.92,7.49,7.98,6.42,7.8,5.41,6.62
Federico Gattoni,,6.39,,,,,,,,
Karim Benzema,,,8.82,7.02,6.02,8.24,7.83,8.36,6.93,7.61
Marco Asensio,7.21,7.25,5.8,7.67,7.41,8.33,7.3,5.89,7.98,8.18
Fernando Medrano,,,6.61,,,,,,,
Hugo Mallo,,,6.3,7.2,5.67,7.86,6.42,5.91,5.8,8.21
Agustín Marchesín,,,6.2,,,,,,,
Haris Seferović,,,7.41,,,,,,5.46,7.12
Gonçalo Paciência,,6.62,6.13,6.85,6.51,6.38,7.25,,,
Augusto Solari,,,7.57,7.46,7.01,,,,,
Felix Garreta,,,7.25,,,,,,,
Sergio Canales,,,8.28,7.44,7.24,7.86,6.56,8.23,6.5,6.75
Roberto González,,,5.85,5.47,,,,,,
Víctor Ruiz,,,7.68,7.78,6.85,,7.18,6.79,6.09,8.22
Joaquín,,,7.51,6.53,6.69,8.2,8.22,6.09,5.79,6.46
Loren Morón,,,5.92,5.65,5.24,6.59,7.6,6.96,,
Fran Delgado,,,6.02,,,,,,,
Edu Expósito,,,6.45,,6.44,7.78,,7.71,6.85,
Fernando Pacheco,,,6.19,7.28,5.71,6.68,7.76,6.6,8.26,
Martin Braithwaite,,,7.6,5.74,7.46,7.45,6.32,5.66,6.9,6.2
Ronaël Pierre-Gabriel,,6.7,5.91,6.35,7.29,7.15,8.19,7.66,6.28,7.09
Benjamin Lecomte,6.53,7.99,5.86,,5.6,5.94,6.87,6.36,6.85,5.82
Rubén Sánchez,,,7.87,6.58,,,,,6.4,
José Carlos Lazo,,,7.18,,,,,,7.21,
Keidi Bare,,,7.75,7.16,,,,,,
Óscar Gil,,,5.8,6.06,,,,,,
Aleix Vidal,,,5.69,6.87,7.43,7.02,6.46,5.55,7.25,6.45
Roger Martínez,,,7.04,,,,,6.88,,
Nabil Touaizi,,,6.78,,,,,,,
Nassim Chadli,,,6.45,7.23,5.81,,,,,
Raúl Parra,,,5.85,6.33,7.2,5.64,7.25,5.9,7.79,
Jaime Seoane,,,7.67,,7.45,,,,,
Ángel Algobia,,,6.76,,,,,,,
Samu Castillejo,,5.99,7.55,6.99,5.72,5.76,5.57,5.62,7.17,7.64
Diego González,5.4,5.96,8.04,6.45,7.51,,5.66,5.66,6.51,7.57
Geoffrey Kondogbia,7.99,7.22,5.71,6.0,6.48,7.7,5.71,7.83,6.58,5.72
Antonio Gomis,,,5.01,,,,,,,
Andrés Martín,,,7.86,5.55,,,,,,
Pablo Muñoz,,,5.73,,,,,,,
Mario Hernández,,,8.0,5.77,,,,,,
Valentín Castellanos,6.72,5.55,6.99,,,,,,,
Borja García,,,6.96,,7.02,,6.31,7.23,,
Manu Vallejo,,,6.6,6.37,7.6,7.0,,,,
Alexander Callens,,,6.27,,,,,,,
Reinier,,6.73,7.28,6.48,5.51,7.5,7.31,7.56,,5.79
Oscar Ureña,,,7.68,,,,,,,
Samuel Sáiz,,,6.81,,,,6.22,,,
Ricard Artero,,,5.52,,,,,,,
Juan Carlos,,,7.55,,6.09,,,,5.47,5.93
Joel Roca,,,7.64,,,,,,,
Asier Illarramendi,,,6.54,7.85,5.67,7.23,5.8,7.26,8.45,8.63
Ander Martin,,,5.53,6.01,,,,,,
El Bilal Touré,5.64,8.1,7.13,7.08,7.47,7.5,,,,
Rodrigo Ely,,,7.98,,5.92,7.91,7.85,8.03,7.33,4.99
Curro,,,7.94,,6.4,,,,,5.56
Íñigo Eguaras,,,6.11,,,,,,,
Dyego Sousa,,,6.63,,,,,,,
César de la Hoz,,7.45,7.13,,,,,,,
Francisco Portillo,,,5.85,,6.22,7.95,7.1,5.47,,6.2
Roberto Torres,,,5.85,5.86,7.43,6.02,,,6.96,
Diego Moreno,,,5.89,,,,,,,
Carlos García,,,8.0,6.68,,,,,,
José Antonio Miranda,,,7.23,,,5.94,,,,
Theo Bongonda,,,6.09,,,,,,6.14,5.66
Francisco Mwepu,,,5.32,,,,,,,
Mamady Diarra,,,6.96,,,,,,,
Tomás Alarcón,,,6.87,7.61,,,,,,
Youba Diarra,,,7.65,,,,,,,
Awer Mabil,,,6.35,,,,,,,
Álvaro Giménez,,,5.95,,7.98,,,,,
Santiago Arzamendia,,,5.97,5.3,,,,,,
Álvaro Aceves,,,6.7,,,,,,,
Jordi Masip,,,6.74,,5.75,7.4,5.78,,,
Monchu,,,6.54,6.89,,,,,,
Jawad El Yamiq,,,7.67,,5.65,7.22,,6.12,,
Sergio Escudero,,,7.93,7.75,7.75,7.12,7.53,5.68,7.42,6.16
Joaquín Fernández,,,6.67,,5.82,5.66,7.43,,,
Óscar Plano,,,6.22,,8.05,7.36,6.11,,,
Zouhair Feddal,,,5.48,,,6.71,7.34,6.67,7.92,7.48
Lucas Olaza,,,7.41,7.74,8.08,6.64,6.95,,,
Sergio León,,,6.31,,6.64,6.33,7.05,5.41,5.66,
Gonzalo Plata,,,7.15,,,,,,,
Iván Fresneda,,,5.76,,,,,,,
Daniel Guerrero,,,5.33,,,,,,,
Sergio Asenjo,,,6.56,5.74,7.32,8.02,6.79,7.31,8.0,5.91
Babatunde Akinsola,,,7.14,,,,,,,
Roberto Arroyo,,,7.06,,,,,,,
Juanjo Narváez,,,6.48,,,,,6.07,,
Mickael Malsa,,,6.74,5.99,5.56,,,,,
Sékou Gassama,,,7.39,,,,,,,
Gerónimo Rulli,6.4,,7.81,6.85,6.53,7.81,6.76,5.46,5.7,5.65
Samuel Chukwueze,7.02,7.53,6.79,7.25,7.24,7.98,5.47,,,
Haissem Hassan,,,5.78,,,,,,,
Diego Collado,,,6.04,,,,,,,
Alberto Del Moral,,,7.43,,,,,,,
Fernando Niño,,,7.44,7.26,7.4,5.92,,,,
Édgar Badía,,,6.48,8.23,6.56,,,,,
Álex Collado,,,8.14,7.24,,6.44,7.56,,,
Carlos Clerc,,,5.85,6.59,7.3,6.9,,,5.28,
Lisandro Magallán,,,6.12,,6.75,7.1,,,,
Tete Morente,6.65,,6.14,6.01,6.62,,,,,
Pedro Bigas,,,6.43,8.08,5.74,6.55,7.55,7.86,6.47,7.28
Josan,,,5.72,5.83,5.37,,,,,
Enzo Roco,,,6.32,6.45,,,,,,7.65
Fidel,,,7.66,7.87,6.56,,,,,
Helibelton Palacios,,,7.19,6.78,6.45,,,,,
Ezequiel Ponce,,,7.67,7.02,,,,5.83,5.31,
Pol Lirola,7.31,5.72,5.83,6.33,7.32,7.83,8.04,7.59,5.85,
Lautaro Blanco,,,6.44,,7.34,,,,,
Raúl Guti,,,5.55,7.38,6.63,,,,,
Gonzalo Verdú,,,6.88,7.91,6.6,,,,,
Javier Pastore,,,6.64,7.88,7.48,6.91,5.66,6.48,7.97,5.88
Pape Cheikh Diop,,,6.92,,5.43,7.37,6.05,5.85,6.68,7.26
Alejandro Alfaro,,,7.1,7.07,7.63,,,,,
Sergio Busquets,,,8.01,5.83,8.23,7.28,6.87,6.43,6.75,7.97
Jordi Alba,,,7.98,8.34,8.2,6.67,6.72,7.38,7.46,7.1
Ousmane Dembélé,7.81,8.02,6.78,8.61,8.24,7.94,7.59,7.83,7.61,7.95
Gerard Piqué,,,7.86,8.34,5.61,5.75,7.74,6.29,6.69,7.52
Aleix Garrido,,,6.8,,,,,,,
Franck Kessié,,,6.65,7.43,7.45,6.27,5.95,6.24,5.56,
Ángel Alarcón,,,5.47,,,,,,,
Franco Russo,,,6.97,7.19,,,,,,
Tino Kadewere,6.58,6.65,6.62,5.81,5.69,,,,,
Clément Grenier,,,7.83,6.68,6.66,7.42,7.84,8.16,6.54,6.47
Dennis Hadzikadunic,,,6.94,,,,,,,
Braian Cufré,,,7.24,,,,,,,
Josep Señé,,,6.01,5.8,,5.75,,,5.66,5.89
Rodrigo Battaglia,,,6.66,7.34,5.62,,,,,
Ángel Rodríguez,,,7.2,6.12,5.52,6.77,6.81,7.34,,
Oier Zarraga,7.44,5.56,6.61,7.66,6.7,,,,,
Jon Morcillo,,,6.99,6.12,7.28,,,,,
Ander Capa,,,7.58,5.29,6.12,7.18,7.04,6.19,7.39,7.28
Unai Hernandez,,,7.29,7.39,6.52,6.1,,,,
Mikel Balenziaga,,,6.72,7.27,7.36,7.63,7.74,5.97,6.96,6.16
Papu Gómez,,6.11,7.77,7.95,7.93,7.58,6.58,9.28,6.61,8.16
Karim Rekik,,,7.35,6.4,8.0,7.77,6.21,6.78,7.44,7.67
Kasper Dolberg,,,7.08,6.24,5.65,6.63,,,,
Thomas Delaney,,,5.3,6.22,7.89,7.96,7.01,6.41,6.4,
Carlos Álvarez,,,5.77,,,,,,,
Iván Romero,,,6.79,7.2,,,,,,
Marcelo,,,,6.0,5.73,7.15,6.79,6.0,7.64,7.07
Luka Jović,6.54,7.5,8.07,7.05,7.02,6.08,7.87,6.83,,
Sergio Santos,,,,7.16,,,,,,
Darío Fuentes,8.27,7.88,6.65,5.49,,,,,,
Víctor Laguardia,,,,7.0,7.38,7.62,6.13,5.67,5.76,
Mamadou Loum,,,,7.77,,,,,,
Toni Moya,,,,7.59,,,6.36,,,
Saúl García,,,,6.45,,,,,,
Édgar Méndez,,,,7.4,6.18,7.23,,,6.0,6.02
John Guidetti,,,,7.28,5.81,6.8,6.93,7.73,7.15,5.43
Martin Agirregabiria,,,,6.0,5.92,7.65,6.6,7.73,,
Alexandru Borbei,,,,6.36,5.35,,,,,
Tom King,,,,7.15,5.94,6.14,5.93,6.67,,8.0
Alex Rodríguez,,,,7.26,5.61,0.0,5.53,7.77,6.6,7.19
Marc Tenas,,,,6.89,,,,,,
Pere Pons,,,,6.55,6.95,6.03,6.37,7.61,,
Ximo Navarro,,,,6.89,5.48,6.16,7.6,7.8,,
Kike Hermoso,,,,6.68,,,,,,7.59
Cristian Tello,,,,6.63,6.64,7.65,6.83,6.07,6.55,7.72
Diego Lainez,,,,6.32,5.9,5.43,5.64,,,
Santi Mina,,,,6.74,5.74,7.45,5.7,6.02,6.01,7.73
Matías Dituro,,,,7.77,,,,,,
Néstor Araujo,,,,5.43,7.14,7.91,8.26,,,
Thiago Galhardo,,,,6.88,,,,,,
Orbelín Pineda,,,,6.48,,,,,,
José Fontán,,,,5.29,6.67,,,,,
Jeison Murillo,,,6.1,5.75,6.69,7.1,7.57,7.55,6.69,6.37
Miguel Baeza,,,,5.75,5.57,,,,,
Oier Olazábal,,,,8.0,,7.11,7.11,7.25,,5.22
Lluís Recasens,,,,6.02,,,,,,
Álvaro Vadillo,,,,7.94,,7.24,,,,5.87
Gori,,,,7.94,,,,,,
Tonny Vilhena,,,7.95,6.27,,,,,,
Fran Mérida,,,,6.19,,7.17,,,7.47,
Wu Lei,,,,5.81,,7.69,5.54,,,
Landry Dimata,,,,5.61,,,,6.95,,
Daniel Villahermosa,,,,6.74,,,,,,
Dídac Vilà,,,,7.42,,6.82,6.65,6.46,,
Miguel,,,,5.83,,,5.35,,,
Mathías Olivera,8.12,7.09,7.16,8.1,5.53,6.44,7.1,6.71,,
Florentino Luís,,,,7.79,7.52,,,,,
José Juan Macías,,,,7.33,,,,,,
Jakub Jankto,,7.7,,5.3,7.45,6.64,7.25,8.0,8.24,
Vitolo,,,,7.17,5.62,5.55,7.83,6.72,7.55,7.11
Erick Cabaco,,,,7.64,6.77,7.13,6.61,7.17,6.1,
Yao Eloge Koffi,,,,6.67,6.46,,,,,
David Timor,,,,6.2,6.5,5.95,6.66,7.22,7.2,
Jonathan Silva,,,,7.37,,7.7,7.13,5.46,,
Chema,,,,5.86,5.44,5.52,6.79,5.74,,
Cristiano Piccini,,,,5.66,6.45,5.82,6.8,,6.99,7.82
Uroš Račić,,6.24,,6.8,6.98,,,,,
Denis Cheryshev,,,,7.43,6.88,6.01,6.01,7.96,6.78,6.19
Koba Koindredi,,,,6.86,6.51,,,,,
Luis Suárez,,,,6.63,6.68,7.47,8.24,7.29,8.69,8.39
Héctor Herrera,,,,5.78,6.85,7.66,,,,
Šime Vrsaljko,,,,6.49,6.23,7.71,7.66,7.69,7.48,7.57
Javier Serrano,,,,6.14,,,,,,
Martín Merquelanz,,,,8.05,7.01,,,,,
Esteban Saveljich,,,,7.5,,,,,,
Nikola Maraš,,,,5.61,,,,,,
Alejandro Asensio,,,,6.33,,,,,,
Yacine Qasmi,,,,7.41,,,,,,
Álvaro Aguirre,,,,7.66,,,,,,
Kévin Rodrigues,,,,6.37,5.54,6.05,7.41,5.7,5.05,
Luca Zidane,,,,6.5,,,7.13,6.67,,
Jorge Molina,,,,7.11,6.02,5.63,7.1,7.05,,7.25
Luis Abram,,,,6.84,,,,,,
Rubén Rochina,,,,6.91,5.59,7.83,6.83,6.29,,7.94
Maxime Gonalons,,8.05,6.2,8.09,7.54,5.72,7.85,8.08,6.85,7.72
Ángel Montoro,,,,7.07,7.36,8.3,,,7.81,6.89
Carlos Bacca,,,,5.65,6.44,6.47,6.37,6.1,8.03,6.48
Germán Sánchez,,,,5.56,5.97,6.7,,,,
Santiago Arias,,,,6.58,8.0,7.8,6.75,,,
Quini,,,,5.34,6.49,5.39,,,,6.31
Isma Ruiz,,,,6.91,5.13,,,,,
Agon Elezi,,,,6.22,7.14,5.5,,,,
Sergio García,,,,5.5,5.94,,6.62,5.52,,
Jon Bautista,,,,0.0,6.78,,5.88,7.41,7.8,6.86
Julen Lobete,,,,6.59,,,,,,
Naïs Djouahra,,,,7.67,,7.7,,,,
Jonás Ramalho,,,,7.33,5.67,,7.55,5.44,,
José Ángel,,,,7.92,6.24,5.85,7.72,7.45,6.09,
Iñigo Pérez,,,,7.31,6.82,6.81,,,,
Robert Ibáñez,,,,6.02,,6.46,5.62,,6.38,6.19
Unai Dufur,,,,7.67,4.8,,,,,
Barbero,,,,6.41,7.71,7.83,5.62,6.65,8.01,
Javier Ontiveros,,,,5.66,6.81,6.18,,6.27,7.71,7.7
Oussama Idrissi,,,,7.04,6.66,,,,,
Carlos Akapo,,,,6.96,5.99,,7.54,,6.39,
Jens Jønsson,,,,7.6,6.95,,,,,
Varazdat Haroyan,,,,6.12,,,,,,
Álvaro Jiménez,,,,5.82,,,,6.11,,
Carlos Calderón,,,,7.24,,,,6.89,,
Chapela,,,,7.72,,,,,,
Álvaro Bastida,,,,6.14,5.62,,,,,
Marco Curto,,,,6.43,7.27,,,,,
Pedro Benito,,,,6.0,,,,,,
Boulaye Dia,7.0,6.93,6.71,6.09,8.25,5.68,7.67,,,
Paco Alcácer,,,,7.35,6.71,7.64,7.29,6.57,6.52,7.89
Mario Gaspar,,,,7.29,6.55,7.32,6.51,6.02,7.9,5.8
Darío Benedetto,,,,6.85,5.31,5.83,,,,
Pablo Piatti,,,,6.57,6.06,7.91,6.69,7.51,6.02,5.53
Iván Marcone,,,,6.42,6.16,,,,,
Josema,,,,6.33,7.44,,,,,
Marcelo Saracchi,,,,7.21,,2.0,5.73,,,
Óscar Duarte,,,,5.71,6.64,7.76,7.86,6.17,6.66,6.8
Enis Bardhi,,7.78,7.63,7.44,8.04,6.83,6.26,6.27,,
Coke,,,,8.09,6.53,5.96,5.56,7.61,5.63,7.79
Rúben Vezo,,,,5.92,6.8,5.56,6.22,5.55,6.78,4.0
Roberto Soldado,,,,7.36,5.44,5.95,,,7.43,8.06
Nemanja Radoja,,,,6.77,6.29,7.36,,6.95,7.31,5.93
Pablo Martínez,,,,5.68,5.57,6.28,5.67,,,7.23
Nikola Vukčević,,,,7.06,7.83,6.08,6.76,,,
Son,,,,6.49,6.62,,,,,
Jorge Miramón,,,,5.87,6.1,5.58,7.24,,,
Omar Faraj,,,6.24,7.49,,,,,,
Sergio Postigo,,,,5.89,5.91,7.74,5.68,6.48,,
Dani Alves,,,,5.91,,,7.3,7.94,7.08,6.92
Samuel Umtiti,,6.43,5.88,7.56,6.73,6.04,7.26,8.57,7.5,5.9
Sergiño Dest,,,7.79,7.59,7.69,,,,,
Luuk de Jong,,,,5.85,7.68,6.21,,,,
Ferran Jutglà,,,,7.64,,,,,,
Riqui Puig,,,,7.39,7.3,7.28,7.02,,,
Yusuf Demir,,,,6.71,,,,,,
Alvaro Sanz,,,,6.78,,,,,,
Salva Sevilla,,,,7.27,,7.95,,,7.57,5.69
Manolo Reina,,,,7.91,,7.48,,,,
Aleix Febas,,,,7.05,,6.93,,,,
Jordi Mboula,,5.51,,6.64,,,7.01,7.27,,
Matthew Hoppe,,,,5.35,7.38,,,,,
Johan Gastien,,7.29,7.13,6.96,,7.7,,,6.41,
Pedro Ortiz,,,,2.0,,,,,,
Javier Díaz,,,,5.67,6.79,,5.15,6.13,,
Alex Petxa,,,,6.62,,,,,,
David Ferreiro,,,,,5.61,,7.97,,,
Dimitris Siovas,,,,,6.14,7.55,7.45,5.68,7.22,
Jorge Pulido,,,,,6.73,,5.83,,,
Eugeni Valderrama,,,,,7.38,,,,,
Pedro López,,,,,7.12,,6.85,7.38,,6.26
Pablo Insua,,,,,6.68,,6.89,7.51,5.64,
Pedro Mosquera,,,,,7.24,,,5.98,6.71,6.09
Andrés Fernández,,,,,7.69,6.62,6.6,7.45,5.91,6.13
Denis Vavro,8.2,,,5.85,6.12,6.93,,,,
Mikel Rico,,,,,6.13,,7.32,5.77,7.01,5.63
Idrissa Doumbia,,,,,7.47,,,,,
Gastón Silva,,,,,6.02,,,,6.51,5.8
Joaquín Muñoz,,,,,7.75,,,,,
Luisinho,,,,,7.45,,6.67,8.0,7.66,5.82
Dani Escriche,,,,,6.65,,,,,
Kelechi Nwakali,,,,,7.13,,,,,
Deyverson,,,,,7.28,5.3,,,8.0,8.12
Burgui,,,,,7.35,5.47,7.15,6.88,7.5,6.04
Abdallahi Mahmoud,,,,,7.77,5.51,,,,
Iñigo Córdoba,,,,,5.81,7.0,5.56,5.72,,
Stephane Keller,,,,,6.58,,,,,
Sergi García,,,,,6.46,,,,,
Tomás Tavares,,,,,6.14,,,,,
Borja Sainz,,,,,7.55,6.47,,,,
Emre Mor,,,,,6.82,,7.65,6.61,6.18,
Jordan Holsgrove,,,,,5.86,,,,,
Facundo Ferreyra,,,,,5.92,6.82,5.89,,,
Sidnei,,,,,6.05,0.0,5.56,6.45,5.76,8.23
Antonio Sanabria,6.25,6.31,5.89,7.58,5.73,6.42,6.04,6.67,7.2,7.56
Mamor Niang,,,,,7.19,,,,,
Ante Palaversa,,,6.34,,6.09,,,,,
Rubén Yáñez,,,,,6.11,,,,,
Sofian Chakla,,,,,6.0,7.39,,,,
Xabier Etxeita,,,,,7.16,7.3,5.4,6.04,7.83,6.25
Joseph Minala,,,,,5.67,,,,,
Sabit Abdulai,,,,,6.38,,,,,
Victor Mollejo,,,,,5.27,,5.65,,,
Abdoulay Diaby,5.52,,,,5.88,,,,,
Vicente Esquerdo,,,,,6.4,6.73,,,,
Christian Oliva,,,,7.27,7.55,7.74,,,,
Kévin Gameiro,,6.67,7.94,7.71,5.75,6.2,6.11,7.11,6.08,8.21
Pepe Blanco,,,,,6.01,,7.5,,,
Guillem Molina,,,,,5.45,,,,,
Moussa Dembélé,,,5.84,8.51,7.1,6.73,7.38,,,
Kingsley Fobi,,,,,6.09,,,,,
Juan Ignacio Ramírez,,,,5.35,6.04,,,,,
Pepe Sánchez,,,,,6.99,,,,,
Adrián Marín,,,,,6.08,6.34,7.21,6.99,7.86,5.89
Fede Vico,,,,,5.96,6.44,,,,
Álvaro Bravo,,,,,6.45,,,,,
Nehuén Pérez,5.72,7.58,7.92,7.41,7.0,,,,,
Dani Plomer,,,,,6.4,,,,,
Ramon Azeez,,,,,5.72,7.14,,,,
Modibo Sagnan,7.22,5.78,,,5.55,,,,,
Facundo Roncaglia,,,,,8.11,7.44,7.9,5.45,7.21,6.15
Adrián López,,,,,7.76,7.11,,6.11,6.64,6.96
Enric Gallego,,,,,7.79,6.91,5.59,,,
Raúl Navas,,,,,5.89,5.61,6.57,8.15,7.6,
Ramón Martínez,,,,,4.8,6.06,,6.64,,5.44
Rober,,,,,7.34,6.29,,,,6.22
Esteban Burgos,,,,,7.04,7.15,,,,
Pedro León,,,,,6.07,6.98,7.93,8.07,5.62,6.64
Paulo Oliveira,,,,,5.98,7.26,7.48,5.85,,
Rafa Soares,,,,,6.64,6.7,,,,
Recio,,,,,5.62,6.05,5.85,7.68,6.65,8.14
Anaitz Arbilla,,,,,7.46,6.82,5.48,7.75,6.43,6.29
Sergi Enrich,,,,,6.9,7.88,8.19,6.41,6.37,5.58
Papakouli Diop,,,,,5.42,6.08,5.74,7.83,6.6,6.92
Sergio Álvarez,,,,,5.75,5.76,6.04,6.58,7.25,6.0
Damian Kądzior,,,,,5.56,,,,,
Miguel Atienza,,,,,6.04,5.38,,,,
Takashi Inui,,,,,6.44,6.25,6.78,7.95,5.61,7.22
Quique,,,,,6.87,6.33,,,,
Unai Ayala,,,,,6.52,,,,,
Eñaut Mendía,,,,,6.96,,,,,
Manuel Prietl,,,,6.59,5.53,,,,,
Ivan Šaponjić,,,,,5.46,7.13,,,,
Jorge Pombo,,,,,7.4,,,,,
Gilberto,,,,,7.04,,,,,7.41
Pedro Alcalá,,,,,6.81,,7.37,7.36,,
Jairo Izquierdo,,,,,6.72,,,,,
Filip Malbašić,,,,,7.27,,,,,
Augusto Fernández,,,,,7.21,,,7.84,6.12,7.24
Álex Martín,,,,,5.41,,,,,
Yann Bodiger,,,,,6.66,,6.73,6.07,6.2,6.21
Marc Baró,,,,,6.68,,,,,
Bobby Adekanye,,,,,6.89,5.3,,,,
Dany Mota,8.28,7.01,8.15,,6.68,,,5.38,7.11,
Pablo Hervías,,,,,6.03,5.71,5.48,,,
Oriol Rey,,,,,7.32,,,,,
Saidy Janko,,,6.21,,6.81,,,5.7,,
Bruno González,,,,,7.59,5.94,7.12,5.71,7.25,6.38
Jota,7.59,,,,5.97,,,,,
Fabián Orellana,,,,,6.43,6.55,6.22,7.19,6.67,6.56
Kenan Kodro,,,,,7.66,7.09,6.36,6.54,7.24,
Kiko Olivas,,,,,7.31,7.67,7.75,,,
Waldo Rubio,,,,,5.8,6.33,6.61,,,
Javi Moyano,,,,,5.78,6.73,6.4,,,
Edgar Sevikyan,,,,,6.14,,,,,
Toño,,,,,7.4,5.43,5.8,7.6,,7.36
Cheick Doukouré,,,,,7.07,,6.26,7.38,5.86,
Giorgi Kochorashvili,,,,,6.24,,,,,
Alex Baena,,,,,7.18,5.72,,,,
Dani Calvo,,,,,6.01,,,,,
Jeison Lucumí,,,,,5.81,,,,,
Víctor Rodríguez,,,,,7.41,,,,5.44,6.8
Emiliano Rigoni,,,,,6.59,5.53,5.85,,,
Nino,,,,,7.27,,,,,
Miguel Capitas,,,,,7.65,,,6.66,,
Luismi,,,,,5.98,,,,,
Juan Sánchez Miño,,,,,5.27,,,,,
Youssouf Koné,,,5.78,6.07,6.18,5.73,0.0,,6.19,5.92
Lionel Messi,,,8.15,8.47,7.37,8.17,7.33,9.36,8.26,9.61
Miralem Pjanić,,,,,7.89,7.75,8.02,6.64,7.82,6.75
Tomáš Vaclík,,,,,6.48,6.0,5.63,,,
Franco Vázquez,,,,,6.55,5.84,7.28,6.47,6.55,7.07
Iñigo Vicente,,,,,6.22,,,,,
Ibai Gómez,,,,,7.97,7.59,7.75,7.73,6.28,7.35
Jokin Ezkieta,,,,,5.97,,,,,
Guillermo Maripán,7.36,7.77,7.04,7.86,6.29,7.02,6.06,6.86,,
Alhassan Wakaso,,,,,,6.94,6.31,7.47,5.55,7.9
Ljubomir Fejsa,,,,,,7.4,,,,
Adrián de la Fuente,,,,,,5.19,,,,
José Luis Rodríguez,,,,,,7.16,,,,
Wilfrid Kaptoum,,,,,,7.29,6.43,,,
Javi García,,,,,,5.52,6.51,6.43,,
Daniel Martín,,,,,,5.72,,,,
